date,description,amount,category
2026-05-21,Netflix Premium Subscription,-649.0,Entertainment
2026-05-18,Spotify Premium Family,-179.0,Entertainment
2026-05-15,Amazon Prime Membership,-1499.0,Shopping
2026-05-12,YouTube Premium,-129.0,Entertainment
2026-05-08,Canva Pro Subscription,-499.0,Software
2026-05-05,Adobe Creative Cloud,-1675.0,Software
2026-05-02,AWS Monthly Billing,-3240.0,Cloud
2026-04-29,OpenAI ChatGPT Plus,-1650.0,AI Tools
2026-04-26,Google One Storage,-210.0,Cloud
2026-04-23,iCloud Storage Subscription,-179.0,Cloud
2026-04-20,Netflix Premium Subscription,-649.0,Entertainment
2026-04-17,Spotify Premium Family,-179.0,Entertainment
2026-04-14,Canva Pro Subscription,-499.0,Software
2026-04-11,OpenAI ChatGPT Plus,-1650.0,AI Tools
