Date,Description,Type,Debit (INR),Credit (INR),Balance (INR)
01 May 2024,Opening Balance,,,,25000.00
03 May 2024,UPI Payment to Amazon,Debit,1250.00,,23750.00
05 May 2024,Salary Credit,Credit,,30000.00,53750.00
07 May 2024,Bill Payment - Electricity,Debit,1200.00,,52550.00
10 May 2024,UPI Payment to Swiggy,Debit,450.00,,52100.00
15 May 2024,Mobile Recharge,Debit,299.00,,51801.00
18 May 2024,Transfer to Savings,Debit,10000.00,,41801.00
20 May 2024,Received from Friend,Credit,,2500.00,44301.00
25 May 2024,UPI Payment to Zomato,Debit,650.00,,43651.00
28 May 2024,Fixed Deposit Interest,Credit,,350.00,44001.00
31 May 2024,ATM Withdrawal,Debit,6151.00,,37850.00
